57.90.16.0,57.90.31.255,AT,Austria
57.90.32.0,57.90.32.255,AT,Austria
57.90.34.0,57.90.35.255,AT,Austria
57.90.36.0,57.90.39.255,AT,Austria
57.90.40.0,57.90.47.255,AT,Austria
58.136.27.193,58.136.27.193,AT,Austria
62.2.100.0,62.2.100.255,AT,Austria
62.13.192.0,62.13.223.255,AT,Austria
62.26.210.0,62.26.210.63,AT,Austria
62.40.128.0,62.40.255.255,AT,Austria
62.46.0.0,62.47.255.255,AT,Austria
62.48.68.60,62.48.68.63,AT,Austria
62.52.54.192,62.52.54.255,AT,Austria
62.68.192.0,62.68.195.255,AT,Austria
62.68.196.0,62.68.197.255,AT,Austria
62.68.198.0,62.68.198.255,AT,Austria
62.68.199.128,62.68.199.255,AT,Austria
62.68.200.0,62.68.200.255,AT,Austria
62.68.202.0,62.68.203.255,AT,Austria
62.68.204.0,62.68.207.255,AT,Austria
62.77.225.32,62.77.225.39,AT,Austria
62.93.64.0,62.93.127.255,AT,Austria
62.99.128.0,62.99.159.255,AT,Austria
62.99.160.0,62.99.175.255,AT,Austria
62.99.176.0,62.99.179.255,AT,Austria
62.99.180.0,62.99.181.255,AT,Austria
62.99.182.0,62.99.182.7,AT,Austria
62.99.182.16,62.99.182.31,AT,Austria
62.99.182.32,62.99.182.63,AT,Austria
62.99.182.64,62.99.182.127,AT,Austria
62.99.182.128,62.99.182.255,AT,Austria
62.99.183.0,62.99.183.255,AT,Austria
62.99.184.0,62.99.191.255,AT,Austria
62.99.192.0,62.99.255.255,AT,Austria
62.112.154.0,62.112.154.3,AT,Austria
62.112.154.20,62.112.154.23,AT,Austria
62.112.154.192,62.112.154.195,AT,Austria
62.112.155.60,62.112.155.63,AT,Austria
62.112.156.92,62.112.156.95,AT,Austria
62.112.158.4,62.112.158.7,AT,Austria
62.116.0.0,62.116.63.255,AT,Austria
62.116.64.0,62.116.64.63,AT,Austria
62.116.64.64,62.116.64.79,AT,Austria
62.116.64.96,62.116.64.127,AT,Austria
62.116.64.128,62.116.64.255,AT,Austria
62.116.65.0,62.116.65.255,AT,Austria
62.116.66.0,62.116.67.255,AT,Austria
62.116.68.0,62.116.71.255,AT,Austria
62.116.72.0,62.116.79.255,AT,Austria
62.116.80.0,62.116.95.255,AT,Austria
62.116.96.0,62.116.127.255,AT,Austria
62.119.108.0,62.119.108.127,AT,Austria
62.119.108.128,62.119.108.191,AT,Austria
62.119.108.192,62.119.108.223,AT,Austria
62.119.108.224,62.119.108.239,AT,Austria
62.140.32.0,62.140.63.255,AT,Austria
62.140.168.192,62.140.168.255,AT,Austria
62.146.89.104,62.146.89.111,AT,Austria
62.146.114.168,62.146.114.175,AT,Austria
62.154.240.0,62.154.240.255,AT,Austria
62.159.71.168,62.159.71.175,AT,Austria
62.159.136.128,62.159.136.135,AT,Austria
62.159.136.144,62.159.136.159,AT,Austria
62.178.0.0,62.178.255.255,AT,Austria
62.179.4.0,62.179.5.255,AT,Austria
62.179.7.0,62.179.7.255,AT,Austria
62.179.16.0,62.179.16.255,AT,Austria
62.179.18.0,62.179.19.255,AT,Austria
62.179.20.0,62.179.20.255,AT,Austria
62.179.23.0,62.179.23.255,AT,Austria
62.179.24.0,62.179.25.255,AT,Austria
62.179.27.0,62.179.27.255,AT,Austria
62.179.28.0,62.179.29.255,AT,Austria
62.179.30.0,62.179.30.255,AT,Austria
62.179.32.0,62.179.32.255,AT,Austria
62.179.35.0,62.179.35.255,AT,Austria
62.179.36.0,62.179.36.255,AT,Austria
62.179.40.0,62.179.41.255,AT,Austria
62.179.43.0,62.179.43.255,AT,Austria
62.179.44.0,62.179.45.255,AT,Austria
62.179.46.0,62.179.46.255,AT,Austria
62.179.50.0,62.179.51.255,AT,Austria
62.179.52.0,62.179.53.255,AT,Austria
62.179.55.0,62.179.55.255,AT,Austria
62.179.56.0,62.179.56.255,AT,Austria
62.179.58.0,62.179.58.255,AT,Austria
62.179.62.0,62.179.62.255,AT,Austria
62.179.64.0,62.179.64.255,AT,Austria
62.179.66.0,62.179.66.255,AT,Austria
62.179.70.0,62.179.70.255,AT,Austria
62.179.72.0,62.179.73.255,AT,Austria
62.179.79.0,62.179.79.255,AT,Austria
62.179.82.0,62.179.82.255,AT,Austria
62.179.85.0,62.179.85.255,AT,Austria
62.179.96.0,62.179.127.255,AT,Austria
62.184.46.0,62.184.47.255,AT,Austria
62.184.57.24,62.184.57.31,AT,Austria
62.184.103.160,62.184.103.191,AT,Austria
62.184.114.0,62.184.115.255,AT,Austria
62.184.128.48,62.184.128.63,AT,Austria
62.184.165.48,62.184.165.63,AT,Austria
62.184.166.0,62.184.167.255,AT,Austria
62.184.253.0,62.184.253.255,AT,Austria
62.185.13.224,62.185.13.255,AT,Austria
62.185.53.80,62.185.53.95,AT,Austria
62.185.78.96,62.185.78.127,AT,Austria
62.185.93.192,62.185.93.255,AT,Austria
62.185.112.0,62.185.112.255,AT,Austria
62.185.113.0,62.185.113.31,AT,Austria
62.185.113.32,62.185.113.47,AT,Austria
62.185.114.0,62.185.114.31,AT,Austria
62.185.115.0,62.185.115.255,AT,Austria
62.185.117.0,62.185.117.255,AT,Austria
62.185.118.0,62.185.119.255,AT,Austria
62.185.132.192,62.185.132.207,AT,Austria
62.185.133.128,62.185.133.255,AT,Austria
62.185.183.96,62.185.183.111,AT,Austria
62.186.94.160,62.186.94.191,AT,Austria
62.186.112.0,62.186.115.255,AT,Austria
62.186.116.0,62.186.117.255,AT,Austria
62.186.118.0,62.186.118.127,AT,Austria
62.186.118.128,62.186.118.191,AT,Austria
62.186.118.192,62.186.118.223,AT,Austria
62.186.119.0,62.186.119.255,AT,Austria
62.186.120.0,62.186.120.31,AT,Austria
62.186.120.128,62.186.120.255,AT,Austria
62.186.121.0,62.186.121.63,AT,Austria
62.186.121.64,62.186.121.95,AT,Austria
62.186.123.0,62.186.123.255,AT,Austria
62.186.156.64,62.186.156.95,AT,Austria
62.186.198.96,62.186.198.127,AT,Austria
62.186.240.0,62.186.241.255,AT,Austria
62.186.242.0,62.186.242.255,AT,Austria
62.186.243.0,62.186.243.127,AT,Austria
62.186.243.128,62.186.243.191,AT,Austria
62.186.243.192,62.186.243.207,AT,Austria
62.186.243.224,62.186.243.255,AT,Austria
62.187.42.0,62.187.43.255,AT,Austria
62.187.60.0,62.187.60.255,AT,Austria
62.187.61.0,62.187.61.127,AT,Austria
62.187.61.192,62.187.61.255,AT,Austria
62.187.175.0,62.187.175.255,AT,Austria
62.187.188.0,62.187.189.255,AT,Austria
62.187.190.0,62.187.190.255,AT,Austria
62.187.191.0,62.187.191.127,AT,Austria
62.187.191.128,62.187.191.159,AT,Austria
62.187.191.168,62.187.191.175,AT,Austria
62.187.191.176,62.187.191.191,AT,Austria
62.187.191.192,62.187.191.255,AT,Austria
62.200.1.0,62.200.1.255,AT,Austria
62.200.3.32,62.200.3.63,AT,Austria
62.200.3.96,62.200.3.111,AT,Austria
62.200.4.0,62.200.7.255,AT,Austria
62.200.176.0,62.200.177.255,AT,Austria
62.212.160.0,62.212.191.255,AT,Austria
62.215.150.229,62.215.150.229,AT,Austria
62.218.0.0,62.218.31.255,AT,Austria
62.218.32.0,62.218.33.255,AT,Austria
62.218.34.0,62.218.34.127,AT,Austria
62.218.34.128,62.218.34.143,AT,Austria
62.218.34.160,62.218.34.191,AT,Austria
62.218.34.192,62.218.34.255,AT,Austria
62.218.35.0,62.218.35.255,AT,Austria
62.218.36.0,62.218.39.255,AT,Austria
62.218.40.0,62.218.47.255,AT,Austria
62.218.48.0,62.218.63.255,AT,Austria
62.218.64.0,62.218.127.255,AT,Austria
62.218.128.0,62.218.255.255,AT,Austria
62.245.254.64,62.245.254.127,AT,Austria
62.249.64.0,62.249.127.255,AT,Austria
64.37.79.0,64.37.79.255,AT,Austria
64.37.116.160,64.37.116.191,AT,Austria
64.38.193.32,64.38.193.63,AT,Austria
64.45.63.16,64.45.63.31,AT,Austria
64.77.40.112,64.77.40.119,AT,Austria
69.61.55.208,69.61.55.215,AT,Austria
76.233.186.216,76.233.186.223,AT,Austria
77.72.160.0,77.72.167.255,AT,Austria
77.74.49.192,77.74.49.199,AT,Austria
77.74.80.0,77.74.87.255,AT,Austria
77.74.112.0,77.74.119.255,AT,Austria
77.74.232.224,77.74.232.239,AT,Austria
